point_id,number_point,score,break_point,set_point,match_point
1,1,15 - 0,,,
2,2,30 - 0,,,
3,3,40 - 0,First Play,,
4,4,40 - 15,First Play,,
5,1,0 - 15,,,
6,2,15 - 15,,,
7,3,30 - 15,,,
8,4,30 - 30,,,
9,5,30 - 40,First Play,,
10,1,15 - 0,,,
11,2,30 - 0,,,
12,3,30 - 15,,,
13,4,40 - 15,First Play,,
14,5,40 - 30,First Play,,
15,1,15 - 0,,,
16,2,30 - 0,,,
17,3,30 - 15,,,
18,4,40 - 15,,,
19,1,0 - 15,,,
20,2,15 - 15,,,
21,3,15 - 30,,,
22,4,30 - 30,,,
23,5,30 - 40,,,
24,1,15 - 0,,,
25,2,15 - 15,,,
26,3,15 - 30,,,
27,4,15 - 40,First Play,,
28,5,30 - 40,First Play,,
29,6,40 - 40,,,
30,7,40 - A,First Play,,
31,1,0 - 15,,,
32,2,0 - 30,,,
33,3,15 - 30,,,
34,4,15 - 40,,,
35,1,15 - 0,,,
36,2,15 - 15,,,
37,3,30 - 15,,,
38,4,30 - 30,,,
39,5,40 - 30,,,
40,1,0 - 15,,,
41,2,0 - 30,,,
42,3,15 - 30,,,
43,4,30 - 30,,,
44,5,30 - 40,,,
45,6,40 - 40,,,
46,7,40 - A,,,
47,1,0 - 15,,,
48,2,15 - 15,,,
49,3,30 - 15,,,
50,4,30 - 30,,,
51,5,30 - 40,First Play,,
52,6,40 - 40,,,
53,7,40 - A,First Play,,
54,1,0 - 15,,,
55,2,0 - 30,,,
56,3,0 - 40,,,
57,1,0 - 15,,,
58,2,15 - 15,,,
59,3,30 - 15,,,
60,4,40 - 15,,,
61,5,40 - 30,,,
62,1,0 - 15,,,
63,2,0 - 30,,,
64,3,15 - 30,,,
65,4,30 - 30,,,
66,5,30 - 40,,,
67,1,15 - 0,,,
68,2,30 - 0,,,
69,3,40 - 0,,,
70,4,40 - 15,,,
71,1,15 - 0,,,
72,2,30 - 0,,,
73,3,30 - 15,,,
74,4,30 - 30,,,
75,5,30 - 40,,,
76,6,40 - 40,,,
77,7,A - 40,First Play,,
78,8,40 - 40,,,
79,9,40 - A,,,
80,10,40 - 40,,,
81,11,A - 40,First Play,,
82,12,40 - 40,,,
83,13,A - 40,First Play,,
