id_match,bookmaker,cote_Home,cote_Away
11950026,NordicBet,1.18,4.40
11950026,10Bet,1.20,4.33
11950026,bet365,1.20,4.33
11950026,Marathon,1.20,4.40
11950026,Unibet,1.21,4.40
11950026,Betfair,1.22,5.30
11950026,Betsson,1.18,4.40
11950026,188bet,1.17,4.45
11950026,Pncl,1.21,4.65
11950026,Sbo,1.16,4.12
11950026,1xbet,1.21,4.34
11950026,Betano,1.20,4.15
11950026,Betway,1.20,4.50
11950026,Tipico,1.14,4.40
11950026,Betcris,1.20,4.40
11950027,NordicBet,2.15,1.65
11950027,10Bet,2.15,1.65
11950027,bet365,2.10,1.66
11950027,Marathon,2.34,1.57
11950027,Unibet,2.28,1.62
11950027,Betfair,2.22,1.79
11950027,Betsson,2.15,1.65
11950027,188bet,2.12,1.65
11950027,Pncl,2.22,1.69
11950027,Sbo,2.17,1.65
11950027,1xbet,2.10,1.74
11950027,Betano,2.15,1.65
11950027,Betway,2.20,1.65
11950027,Tipico,2.20,1.55
11950027,Betcris,2.18,1.66
11950028,NordicBet,1.72,2.00
11950028,10Bet,1.80,1.95
11950028,bet365,1.90,1.80
11950028,Marathon,1.86,1.90
11950028,Unibet,1.79,2.00
11950028,Betfair,1.87,2.12
11950028,Betsson,1.72,2.00
11950028,188bet,1.75,1.97
11950028,Pncl,1.76,2.10
11950028,Sbo,1.73,2.07
11950028,1xbet,1.86,1.90
11950028,Betano,1.83,1.91
11950028,Betway,1.80,2.00
11950028,Tipico,2.10,1.60
11950028,Betcris,1.75,2.00
11950029,NordicBet,2.20,1.60
11950029,10Bet,2.25,1.60
11950029,bet365,2.25,1.57
11950029,Marathon,2.24,1.62
11950029,Unibet,2.17,1.68
11950029,Betfair,2.40,1.70
11950029,Betsson,2.20,1.60
11950029,188bet,2.21,1.59
11950029,Pncl,2.29,1.65
11950029,Sbo,2.21,1.62
11950029,1xbet,2.31,1.62
11950029,Betano,2.22,1.62
11950029,Betway,2.25,1.65
11950029,Tipico,2.20,1.55
11950029,Betcris,2.25,1.62
11950030,NordicBet,1.32,3.10
11950030,10Bet,1.33,3.10
11950030,bet365,1.36,3.00
11950030,Marathon,1.36,3.04
11950030,Unibet,1.36,3.15
11950030,Betfair,1.39,3.50
11950030,Betsson,1.32,3.10
11950030,188bet,1.31,3.20
11950030,Pncl,1.36,3.25
11950030,Sbo,1.38,2.78
11950030,1xbet,1.36,3.08
11950030,Betano,1.36,3.00
11950030,Betway,1.33,3.30
11950030,Tipico,1.30,3.00
11950030,Betcris,1.36,3.05
11950031,NordicBet,2.05,1.70
11950031,10Bet,2.10,1.70
11950031,bet365,2.10,1.66
11950031,Marathon,2.14,1.68
11950031,Unibet,2.10,1.72
11950031,Betfair,2.22,1.79
11950031,Betsson,2.05,1.70
11950031,188bet,2.07,1.68
11950031,Pncl,2.14,1.74
11950031,Sbo,2.02,1.78
11950031,1xbet,2.14,1.70
11950031,Betano,2.07,1.70
11950031,Betway,2.10,1.73
11950031,Tipico,2.20,1.55
11950031,Betcris,2.15,1.68
11950089,NordicBet,2.20,1.60
11950089,10Bet,2.25,1.60
11950089,bet365,2.20,1.61
11950089,Marathon,2.24,1.62
11950089,Unibet,2.32,1.60
11950089,Betfair,2.40,1.69
11950089,Betsson,2.20,1.60
11950089,188bet,2.22,1.59
11950089,Pncl,2.30,1.64
11950089,Sbo,2.28,1.58
11950089,1xbet,2.22,1.64
11950089,Betano,2.30,1.57
11950089,Betway,2.25,1.65
11950089,Tipico,2.00,1.67
11950089,Betcris,2.25,1.63
11950090,NordicBet,1.17,4.60
11950090,10Bet,1.18,4.50
11950090,bet365,1.20,4.33
11950090,Marathon,1.18,4.65
11950090,Unibet,1.21,4.50
11950090,Betfair,1.20,5.60
11950090,Betsson,1.17,4.60
11950090,188bet,1.15,4.85
11950090,Pncl,1.19,4.98
11950090,Sbo,1.13,4.44
11950090,1xbet,1.19,4.58
11950090,Betano,1.19,4.30
11950090,Betway,1.15,5.50
11950090,Tipico,1.14,4.40
11950090,Betcris,1.20,4.40
11950115,NordicBet,1.62,2.30
11950115,10Bet,1.57,2.30
11950115,WilliamHill,1.62,2.30
11950115,bet365,1.57,2.37
11950115,Marathon,1.57,2.41
11950115,Unibet,1.65,2.23
11950115,Betfair,1.70,2.40
11950115,Betsson,1.62,2.30
11950115,188bet,1.56,2.39
11950115,Pncl,1.68,2.32
11950115,Sbo,1.63,2.20
11950115,1xbet,1.59,2.38
11950115,Betano,1.60,2.37
11950115,Betway,1.60,2.30
11950115,Tipico,1.52,2.35
11950115,Betcris,1.59,2.32
11950259,NordicBet,1.14,5.60
11950259,10Bet,1.14,5.00
11950259,WilliamHill,1.14,5.50
11950259,bet365,1.12,6.00
11950259,Marathon,1.14,5.65
11950259,Unibet,1.16,5.50
11950259,Betfair,1.18,6.20
11950259,Betsson,1.14,5.60
11950259,188bet,1.12,5.30
11950259,Pncl,1.17,5.98
11950259,Sbo,1.12,4.57
