event_key,score_first,score_second,score_set
11756822,4,6,1
11756822,6.4,7.7,2
11756823,6,1,1
11756823,6,2,2
11756824,6,1,1
11756824,6,2,2
11756826,1,6,1
11756826,4,6,2
11756827,6,2,1
11756827,7,5,2
11756828,1,6,1
11756828,2,6,2
11756829,3,6,1
11756829,5,7,2
11756830,1,6,1
11756830,3,6,2
11756831,2,6,1
11756831,7,5,2
11756831,6,3,3
11756832,7.8,6.6,1
11756832,4,6,2
11756832,4,6,3
11756833,7.7,6.5,1
11756833,5,7,2
11756833,6.2,7.7,3
11756834,1,6,1
11756834,2,6,2
11756835,6,1,1
11756835,6,3,2
11756836,7.7,6.2,1
11756836,6,1,2
11756837,3,6,1
11756837,6.4,7.7,2
71902,6,4,1
71902,7.7,6.5,2
71903,4,6,1
71903,4,6,2
71904,4,6,1
71904,6.6,7.8,2
71905,6,4,1
71905,7.9,6.7,2
71906,4,6,1
71906,2,6,2
71907,5,7,1
71907,7,5,2
71907,6,3,3
71908,6,1,2
71909,7.8,6.6,1
71909,2,6,2
71909,4,6,3
11756838,6,1,1
11756838,6,1,2
11756839,3,6,1
11756839,3,6,2
11756840,6.5,7.7,1
11756840,6,3,2
11756840,6,1,3
11756841,4,6,1
11756841,6.4,7.7,2
11756842,6.5,7.7,1
11756842,1,6,2
11756843,6,4,1
11756843,3,6,2
11756843,7.7,6.5,3
11756844,7.7,6.5,1
11756844,3,6,2
11756844,3,6,3
11756845,6,4,1
11756845,4,6,2
11806119,7,5,1
11806119,6,2,2
11806120,4,6,1
11806120,6.3,7.7,2
11806121,6,1,1
11806121,7,5,2
11806122,6,4,1
11806122,6,2,2
11806123,6,4,1
11806123,6,4,2
11806124,4,6,1
11806124,2,6,2
11806125,6.3,7.7,1
11806125,7.7,6.5,2
11806125,6,3,3
11806126,2,6,1
11806126,3,6,2
71872,7,5,1
71872,7.7,6.1,2
71873,6,4,1
71873,2,6,2
71873,6,4,3
71897,6,2,1
71897,6,3,2
71898,6,3,1
71898,6,2,3
71899,6.3,7.7,1
71899,6.5,7.7,2
71900,1,6,1
71900,2,6,2
71901,6,2,1
71901,3,6,2
71901,7.7,6.2,3
71910,6.5,7.7,1
71910,2,6,2
11756846,7.9,6.7,1
11756846,4,6,2
11756846,7,5,3
11756847,6,3,1
11756847,7.7,6.3,2
11756848,6,4,1
11756848,7.8,6.6,2
11756849,6,4,1
11756849,6,4,2
11756850,4,6,1
11756850,4,6,2
11756851,7.8,6.6,1
