player_key,player_name,player_country,player_bday,player_logo,season,type,rank,titles,matches_won,matches_lost,hard_won,hard_lost,clay_won,clay_lost,grass_won,grass_lost
2,M. Ng,Hong Kong,28.03.1996,,2022,doubles,748,0,12,10,8,10,,,,
2,M. Ng,Hong Kong,28.03.1996,,2021,doubles,847,2,17,10,17,10,,,,
2,M. Ng,Hong Kong,28.03.1996,,2020,doubles,847,0,3,2,3,2,,,,
2,M. Ng,Hong Kong,28.03.1996,,2015,doubles,,0,0,1,0,1,,,,
2,M. Ng,Hong Kong,28.03.1996,,2022,singles,1025,0,7,8,7,8,,,,
2,M. Ng,Hong Kong,28.03.1996,,2021,singles,892,0,7,12,7,12,,,,
2,M. Ng,Hong Kong,28.03.1996,,2020,singles,821,0,2,1,2,1,,,,
2,M. Ng,Hong Kong,28.03.1996,,2018,singles,,0,0,1,0,1,,,,
2,M. Ng,Hong Kong,28.03.1996,,2015,singles,1160,0,0,2,0,2,,,,
2,M. Ng,Hong Kong,28.03.1996,,2023,doubles,806,0,13,18,12,16,,,,
2,M. Ng,Hong Kong,28.03.1996,,2023,singles,1303,0,5,13,2,11,,,,
2,M. Ng,Hong Kong,28.03.1996,,2024,doubles,812,0,5,5,5,5,,,,
2,M. Ng,Hong Kong,28.03.1996,,2024,singles,,0,1,3,1,3,,,,
3,Q. D. Vazquez M.,Mexico,01.01.1970,,,doubles,,,,,,,,,,
3,Q. D. Vazquez M.,Mexico,01.01.1970,,1,doubles,1,1,1,1,1,1,1,1,1,1
3,Q. D. Vazquez M.,Mexico,01.01.1970,,0,doubles,0,0,0,0,0,0,0,0,0,0
3,Q. D. Vazquez M.,Mexico,01.01.1970,,2,doubles,2,2,2,2,2,2,2,2,2,2
3,Q. D. Vazquez M.,Mexico,01.01.1970,,2022,singles,1183,0,3,4,3,4,,,,
3,Q. D. Vazquez M.,Mexico,01.01.1970,,2021,singles,,0,1,2,1,2,,,,
3,Q. D. Vazquez M.,Mexico,01.01.1970,,3,doubles,3,3,3,3,3,3,3,3,3,3
3,Q. D. Vazquez M.,Mexico,01.01.1970,,4,doubles,4,4,4,4,4,4,4,4,4,4
4,K. Kozarov,Serbia,01.05.1998,,2022,doubles,431,2,16,6,16,5,,,,
4,K. Kozarov,Serbia,01.05.1998,,2021,doubles,1058,1,6,3,6,3,,,,
