Joueur,Adversaire,Nombre de rencontres,Nombre de victoires,% Victoire,Nombre de rencontres (hard),Nombre de victoires (hard),% Victoire (hard),Nombre de rencontres (clay),Nombre de victoires (clay),% Victoire (clay),Nombre de rencontres (grass),Nombre de victoires (grass),% Victoire (grass),Nombre de rencontres (various),Nombre de victoires (various),% Victoire (various),player_key,Rang,player_bday,Nombre titres total,Victoire totale,Victoire Hard,Victoire Clay,Victoire Grass,Age,% victoire général,% victoire hard,% victoire clay,% victoire grass,matches_won_top100,% victoire contre top 100
L. Fernandez,A. Muhammad,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.0,732.0,01.01.1970,1.0,36.0,36.0,0.0,0.0,54.0,23.52941176470588,40.0,0.0,0.0,0.0,0.0
L. Fernandez,D. Seguel,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1356.0,732.0,01.01.1970,1.0,36.0,36.0,0.0,0.0,54.0,23.52941176470588,40.0,0.0,0.0,0.0,0.0
L. Fernandez,K. Baindl,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,1356.0,732.0,01.01.1970,1.0,36.0,36.0,0.0,0.0,54.0,23.52941176470588,40.0,0.0,0.0,0.0,0.0
L. Fernandez,Y. Wickmayer,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,1356.0,732.0,01.01.1970,1.0,36.0,36.0,0.0,0.0,54.0,23.52941176470588,40.0,0.0,0.0,0.0,0.0
L. Fernandez,A. Blinkova,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.0,732.0,01.01.1970,1.0,36.0,36.0,0.0,0.0,54.0,23.52941176470588,40.0,0.0,0.0,0.0,0.0
L. Fernandez,A. Potapova,1.0,1.0,100.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.0,732.0,01.01.1970,1.0,36.0,36.0,0.0,0.0,54.0,23.52941176470588,40.0,0.0,0.0,0.0,0.0
L. Fernandez,S. Kenin,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.0,732.0,01.01.1970,1.0,36.0,36.0,0.0,0.0,54.0,23.52941176470588,40.0,0.0,0.0,0.0,0.0
L. Fernandez,A. Parks,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.0,732.0,01.01.1970,1.0,36.0,36.0,0.0,0.0,54.0,23.52941176470588,40.0,0.0,0.0,0.0,0.0
L. Fernandez,O. Jabeur,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1356.0,732.0,01.01.1970,1.0,36.0,36.0,0.0,0.0,54.0,23.52941176470588,40.0,0.0,0.0,0.0,0.0
L. Fernandez,C. Garcia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1356.0,732.0,01.01.1970,1.0,36.0,36.0,0.0,0.0,54.0,23.52941176470588,40.0,0.0,0.0,0.0,0.0
N. Hibino,M. Frech,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,49.0,28.11.1994,17.0,428.0,319.0,75.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
N. Hibino,M. Kostyuk,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,49.0,28.11.1994,17.0,428.0,319.0,75.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
N. Hibino,E. Arango,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,49.0,28.11.1994,17.0,428.0,319.0,75.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
